"Artist1";"Artist2";"Song_Connecting";"Popularity"
"19i93sA0D7yS9dYoVNBqAA";"5WBincqAirIREkG5sXqeyq";"1LLlIHa6yVdxTyVseZYa5t";60
"19i93sA0D7yS9dYoVNBqAA";"5SulO4l40qDuV9zUGLZx7n";"1LLlIHa6yVdxTyVseZYa5t";60
"0hk4xVujcyOr6USD95wcWb";"19i93sA0D7yS9dYoVNBqAA";"3NbehQmQsyuN17EP7dW5mJ";79
"5SulO4l40qDuV9zUGLZx7n";"5WBincqAirIREkG5sXqeyq";"1LLlIHa6yVdxTyVseZYa5t";60
"0hk4xVujcyOr6USD95wcWb";"5WBincqAirIREkG5sXqeyq";"1LLlIHa6yVdxTyVseZYa5t";60
"1gs79u8PKkWAW1yfymbkTt";"5SulO4l40qDuV9zUGLZx7n";"1LLlIHa6yVdxTyVseZYa5t";60
"0hk4xVujcyOr6USD95wcWb";"1gs79u8PKkWAW1yfymbkTt";"1LLlIHa6yVdxTyVseZYa5t";60
"0hk4xVujcyOr6USD95wcWb";"5SulO4l40qDuV9zUGLZx7n";"1QlqHpITeEHB4EWFGqks9J";72
"0VitAFMCI2apQxKzDjg1PU";"0zoMmzmyi8N8LwzhyXPvtk";"6oNJqGeekJO8rADd2Mktvi";65
"0VitAFMCI2apQxKzDjg1PU";"5dXlc7MnpaTeUIsHLVe3n4";"6oNJqGeekJO8rADd2Mktvi";65
"0zoMmzmyi8N8LwzhyXPvtk";"2KXYAKQTxHuUHDtVgeGn6w";"6oNJqGeekJO8rADd2Mktvi";65
"2KXYAKQTxHuUHDtVgeGn6w";"5dXlc7MnpaTeUIsHLVe3n4";"6oNJqGeekJO8rADd2Mktvi";65
"19i93sA0D7yS9dYoVNBqAA";"5dXlc7MnpaTeUIsHLVe3n4";"6oNJqGeekJO8rADd2Mktvi";65
"0zoMmzmyi8N8LwzhyXPvtk";"5dXlc7MnpaTeUIsHLVe3n4";"6oNJqGeekJO8rADd2Mktvi";65
"0VitAFMCI2apQxKzDjg1PU";"0Y3agQaa6g2r0YmHPOO9rh";"7io8voeFCefZOJ9Vr5kEZr";51
"0VitAFMCI2apQxKzDjg1PU";"6g5SF1Yz63eoPUnJgRHfrz";"0e16hLAkJH4yP5lNBMcken";60
"0VitAFMCI2apQxKzDjg1PU";"2K5nCggbhSZ00YCYP5qkZS";"7io8voeFCefZOJ9Vr5kEZr";51
"0Y3agQaa6g2r0YmHPOO9rh";"2KXYAKQTxHuUHDtVgeGn6w";"7io8voeFCefZOJ9Vr5kEZr";51
"2KXYAKQTxHuUHDtVgeGn6w";"6g5SF1Yz63eoPUnJgRHfrz";"0e16hLAkJH4yP5lNBMcken";60
"2K5nCggbhSZ00YCYP5qkZS";"2KXYAKQTxHuUHDtVgeGn6w";"7io8voeFCefZOJ9Vr5kEZr";51
"0Y3agQaa6g2r0YmHPOO9rh";"19i93sA0D7yS9dYoVNBqAA";"7io8voeFCefZOJ9Vr5kEZr";51
"19i93sA0D7yS9dYoVNBqAA";"6g5SF1Yz63eoPUnJgRHfrz";"0e16hLAkJH4yP5lNBMcken";60
"19i93sA0D7yS9dYoVNBqAA";"2K5nCggbhSZ00YCYP5qkZS";"2pAaxSeMXY12bwr6R2LTfH";55
"0Y3agQaa6g2r0YmHPOO9rh";"1gs79u8PKkWAW1yfymbkTt";"7io8voeFCefZOJ9Vr5kEZr";50
"1gs79u8PKkWAW1yfymbkTt";"6g5SF1Yz63eoPUnJgRHfrz";"0e16hLAkJH4yP5lNBMcken";60
"1gs79u8PKkWAW1yfymbkTt";"2K5nCggbhSZ00YCYP5qkZS";"7io8voeFCefZOJ9Vr5kEZr";50
"0Y3agQaa6g2r0YmHPOO9rh";"6g5SF1Yz63eoPUnJgRHfrz";"7io8voeFCefZOJ9Vr5kEZr";51
"0Y3agQaa6g2r0YmHPOO9rh";"2K5nCggbhSZ00YCYP5qkZS";"7io8voeFCefZOJ9Vr5kEZr";51
"2K5nCggbhSZ00YCYP5qkZS";"6g5SF1Yz63eoPUnJgRHfrz";"7io8voeFCefZOJ9Vr5kEZr";51
"0VitAFMCI2apQxKzDjg1PU";"0vZAzVAFQL1gKLBPfnXMaS";"6vkZ48TZzagM0pJ4awoRRF";47
"0VitAFMCI2apQxKzDjg1PU";"5wXOwi8XUn74iwMInSldYp";"6vkZ48TZzagM0pJ4awoRRF";47
"0vZAzVAFQL1gKLBPfnXMaS";"2KXYAKQTxHuUHDtVgeGn6w";"6vkZ48TZzagM0pJ4awoRRF";47
"2KXYAKQTxHuUHDtVgeGn6w";"5wXOwi8XUn74iwMInSldYp";"6vkZ48TZzagM0pJ4awoRRF";47
"0vZAzVAFQL1gKLBPfnXMaS";"1gs79u8PKkWAW1yfymbkTt";"6vkZ48TZzagM0pJ4awoRRF";47
"1gs79u8PKkWAW1yfymbkTt";"5wXOwi8XUn74iwMInSldYp";"6vkZ48TZzagM0pJ4awoRRF";47
"0vZAzVAFQL1gKLBPfnXMaS";"5wXOwi8XUn74iwMInSldYp";"6vkZ48TZzagM0pJ4awoRRF";47
"0ffKEtMDnROKWyJtXUnLbJ";"0vZAzVAFQL1gKLBPfnXMaS";"1jdSQIHOSFxVqDSsSDTM8m";49
"0ffKEtMDnROKWyJtXUnLbJ";"5wXOwi8XUn74iwMInSldYp";"6vkZ48TZzagM0pJ4awoRRF";47
"0VitAFMCI2apQxKzDjg1PU";"5gYADZXuZoaJwrwfAPbKuH";"3IAe6BpxUUktNRuYI8MEhM";57
"2KXYAKQTxHuUHDtVgeGn6w";"5gYADZXuZoaJwrwfAPbKuH";"3IAe6BpxUUktNRuYI8MEhM";57
"19i93sA0D7yS9dYoVNBqAA";"5gYADZXuZoaJwrwfAPbKuH";"3IAe6BpxUUktNRuYI8MEhM";57
"1gs79u8PKkWAW1yfymbkTt";"5gYADZXuZoaJwrwfAPbKuH";"3IAe6BpxUUktNRuYI8MEhM";57
"0VitAFMCI2apQxKzDjg1PU";"1ZDu0fOcpCIjDwyl2cvk08";"3DsbsFPXNM8x2Mpt0wbiPm";48
"0VitAFMCI2apQxKzDjg1PU";"7F2utINZ6tSokSiZTQBE27";"3DsbsFPXNM8x2Mpt0wbiPm";48
"1ZDu0fOcpCIjDwyl2cvk08";"2KXYAKQTxHuUHDtVgeGn6w";"3DsbsFPXNM8x2Mpt0wbiPm";48
"2KXYAKQTxHuUHDtVgeGn6w";"7F2utINZ6tSokSiZTQBE27";"3DsbsFPXNM8x2Mpt0wbiPm";48
"1ZDu0fOcpCIjDwyl2cvk08";"5WBincqAirIREkG5sXqeyq";"3DsbsFPXNM8x2Mpt0wbiPm";48
"5WBincqAirIREkG5sXqeyq";"6g5SF1Yz63eoPUnJgRHfrz";"0e16hLAkJH4yP5lNBMcken";60
"5WBincqAirIREkG5sXqeyq";"7F2utINZ6tSokSiZTQBE27";"3DsbsFPXNM8x2Mpt0wbiPm";48
"1ZDu0fOcpCIjDwyl2cvk08";"6g5SF1Yz63eoPUnJgRHfrz";"3DsbsFPXNM8x2Mpt0wbiPm";48
